iter	Passed	Remaining
325	10623	219633326	10651	2192133327	10675	218713328	10709	218413329	10742	218093330	10769	217633331	10805	217433332	10836	217033333	10864	216633334	10902	216433335	10933	216033336	10960	21563337	10999	215433338	11034	215153339	11062	214733340	11097	214473341	11129	214123342	11163	213833343	11194	213473344	11229	213203345	11269	213003346	11304	212733347	11336	212393348	11366	212023349	11393	211603350	11426	211263351	11458	210933352	11491	210633353	11526	210333354	11560	210043355	11586	209593356	11615	209213357	11645	208833358	11677	208503359	11712	208223360	11749	207973361	11786	20773362	11844	20785
363	11884	20765
364	11920	20737
365	11957	20713
366	11986	20674
367	12018	20640
368	12056	20617
369	12091	20589
370	12122	20552
371	12153	20517
372	12190	20492
373	12229	20470
374	12267	20445
375	12312	20432
376	12351	20410
377	12387	20383
378	12424	20357
379	12460	20329
380	12492	20295
381	12529	20270
382	12564	20241
383	12596	20207
384	12630	20175
385	12641	20109
386	12701	20118
387	12714	20054
388	12754	20033
389	12796	20014
390	12826	19977
391	12871	19964
392	12905	19933
393	12947	19913
394	12989	19895
395	13027	19869
396	13070	19853
397	13108	19826
398	13146	19801
399	13175	19763
400	13215	19740
401	13261	19727
402	13288	19685
403	13321	19652
404	13368	19640
405	13409	19618
406	13452	19600
407	13497	19584
408	13537	19561
409	13572	19531
410	13620	19519
411	13660	19495
412	13690	19457
413	13724	19426
414	13758	19394
415	13796	19368
416	13831	19337
417	13871	19314
418	13913	19292
419	13950	19264
420	13989	19239
421	14027	19213
422	14067	19188
423	14101	19157
424	14135	19124
425	14174	19098
426	14209	19067
427	14246	19040
428	14281	19009
429	14322	18985
430	14356	18952
431	14391	18922
432	14431	18897
433	14482	18887
434	14516	18854
435	14555	18828
436	14592	18800
437	14629	18771
438	14671	18748
439	14711	18723
440	14747	18693
441	14783	18663
442	14819	18633
443	14854	18601
444	14894	18576
445	14925	18540
446	14964	18513
447	15008	18492
448	15043	18461
449	15085	18437
450	15119	18404
451	15148	18365
452	15180	18331
453	15217	18300
454	15251	18268
455	15286	18237
456	15327	18212
457	15363	18180
458	15394	18144
459	15429	18112
460	15463	18079
461	15498	18048
462	15534	18017
463	15577	17994
464	15619	17970
465	15658	17943
466	15697	17915
467	15731	17883
468	15774	17859
469	15802	17820
470	15840	17791
471	15877	17761
472	15925	17743
473	15961	17712
474	16002	17687
475	16048	17666
476	16078	17629
477	16114	17598
478	16151	17567
479	16199	17549
480	16242	17525
481	16283	17500
482	16325	17474
483	16361	17442
484	16396	17411
485	16440	17388
486	16479	17359
487	16514	17327
488	16559	17304
489	16599	17276
490	16634	17244
491	16671	17213
492	16707	17181
493	16745	17152
494	16792	17132
495	16829	17100
496	16874	17077
497	16908	17044
498	16951	17019
499	16985	16985
500	17026	16958
501	17088	16952
502	17133	16928
503	17176	16903
504	17224	16883
505	17267	16857
506	17305	16828
507	17342	16796
508	17381	16767
509	17431	16748
510	17473	16721
511	17518	16697
512	17557	16667
513	17592	16634
514	17633	16606
515	17674	16578
516	17712	16547
517	17753	16519
518	17793	16490
519	17839	16467
520	17884	16442
521	17926	16415
522	17971	16390
523	18009	16359
524	18046	16327
525	18079	16291
526	18122	16265
527	18160	16234
528	18200	16204
529	18244	16179
530	18284	16149
531	18328	16123
532	18373	16098
533	18416	16071
534	18460	16044
535	18507	16021
536	18553	15996
537	18599	15972
538	18637	15940
539	18678	15910
540	18710	15874
541	18747	15841
542	18791	15815
543	18828	15782
544	18866	15750
545	18908	15722
546	18955	15697
547	18998	15670
548	19034	15636
549	19086	15615
550	19125	15584
551	19162	15551
552	19203	15522
553	19247	15495
554	19286	15463
555	19324	15431
556	19367	15403
557	19407	15373
558	19450	15345
559	19491	15315
560	19525	15279
561	19557	15241
562	19599	15213
563	19634	15178
564	19686	15156
565	19722	15122
566	19762	15091
567	19775	15040
568	19837	15026
569	19881	14997
570	19925	14970
571	19959	14934
572	19999	14903
573	20038	14871
574	20077	14839
575	20100	14796
576	20162	14780
577	20184	14736
578	20244	14720
579	20287	14690
580	20324	14657
581	20363	14625
582	20405	14595
583	20443	14562
584	20478	14527
585	20521	14498
586	20565	14469
587	20606	14438
588	20651	14410
589	20695	14381
590	20737	14351
591	20778	14320
592	20825	14293
593	20864	14260
594	20878	14211
595	20952	14202
596	20995	14173
597	21030	14137
598	21067	14103
599	21110	14073
600	21157	14046
601	21200	14016
602	21243	13986
603	21288	13957
604	21320	13920
605	21360	13887
606	21404	13858
607	21447	13828
608	21482	13792
609	21516	13756
610	21554	13722
611	21599	13693
612	21635	13659
613	21685	13633
614	21728	13602
615	21767	13569
616	21798	13531
617	21839	13499
618	21886	13471
619	21925	13437
620	21960	13402
621	21995	13366
622	22036	13335
623	22068	13297
624	22105	13263
625	22149	13232
626	22186	13198
627	22227	13166
628	22267	13134
629	22305	13100
630	22349	13069
631	22395	13040
632	22433	13006
633	22477	12975
634	22526	12948
635	22564	12914
636	22605	12882
637	22644	12848
638	22679	12812
639	22716	12778
640	22754	12743
641	22787	12706
642	22806	12662
643	22856	12634
644	22892	12599
645	22942	12571
646	22978	12536
647	23021	12505
648	23063	12473
649	23098	12437
650	23139	12405
651	23181	12373
652	23220	12339
653	23250	12300
654	23288	12266
655	23325	12231
656	23361	12196
657	23401	12163
658	23444	12131
659	23477	12094
660	23512	12058
661	23554	12026
662	23593	11992
663	23631	11957
664	23670	11924
665	23705	11888
666	23748	11856
667	23783	11820
668	23844	11797
669	23890	11767
670	23927	11732
671	23968	11699
672	24013	11667
673	24034	11625
674	24069	11588
675	24118	11559
676	24159	11526
677	24201	11493
678	24243	11461
679	24278	11425
680	24321	11392
681	24362	11359
682	24405	11327
683	24468	11303
684	24507	11269
685	24551	11237
686	24589	11203
687	24625	11167
688	24650	11126
689	24698	11096
690	24753	11069
691	24796	11036
692	24842	11005
693	24880	10970
694	24919	10936
695	24959	10901
696	25004	10869
697	25039	10833
698	25081	10800
699	25122	10766
700	25159	10731
701	25200	10697
702	25214	10652
703	25283	10630
704	25304	10588
705	25344	10554
706	25386	10520
707	25424	10485
708	25461	10450
709	25500	10415
710	25535	10379
711	25592	10351
712	25634	10318
713	25678	10285
714	25718	10251
715	25760	10217
716	25795	10181
717	25833	10146
718	25878	10114
719	25913	10077
720	25953	10043
721	25999	100107722	26038	99767723	26077	99417724	26111	99047725	26154	98707726	26195	98367727	26233	98017728	26280	97697729	26314	97327730	26357	96997731	26395	96647732	26436	96297733	26477	95957734	26520	95617735	26558	95267736	26594	94907737	26636	94567738	26683	94247739	26720	93887740	26749	93497741	26790	93157742	26828	92807743	26869	92457744	26912	92117745	26948	91757746	26983	9138747	27001	9096
748	27042	9062
749	27081	9027
750	27118	8991
751	27158	8956
752	27201	8922
753	27238	8886
7754	27296	88577755	27342	88247756	27382	87897757	27421	87547758	27463	87207759	27503	86857760	27532	86467761	27573	86127762	27611	85767763	27651	85417764	27694	85077765	27736	84737766	27778	84387767	27815	84027768	27853	83667769	27896	83327770	27933	82967771	27980	82637772	28016	82277773	28050	81907774	28085	81537775	28120	81177776	28158	8081777	28173	8039
778	28211	8003
779	28259	7970
780	28299	7935
781	28337	7899
782	28379	7865
783	28421	7830
784	28462	7795
785	28503	7760
786	28539	7724
787	28581	7689
788	28617	7653
789	28653	7616
790	28696	7582
791	28730	7545
792	28775	7511
793	28817	7476
794	28855	7440
7795	28913	74097796	28954	7374797	28974	7334
7798	29043	73067799	29085	72718800	29128	72368801	29167	72008802	29209	71658803	29254	71318804	29295	70968805	29335	7060
806	29384	7027
807	29417	6990
808	29459	69558809	29504	69208810	29542	68848811	29588	6850
812	29624	68148813	29662	67778814	29706	67438815	29747	67078816	29785	66718817	29822	66358818	29869	66018819	29920	6567
820	29963	6532
821	30011	6498
822	30050	6462
823	30090	6427
824	30129	6391
825	30180	6357
826	30219	6321
827	30266	6287
828	30306	6251
829	30341	62148830	30378	61788831	30419	61428832	30461	61068833	30499	6070
834	30542	6035
835	30580	5999
836	30623	5963
837	30656	59268838	30690	58898839	30727	58528840	30772	58178841	30812	57828842	30842	57448843	30878	57078844	30919	56718845	30957	56358846	31008	56018847	31044	55648848	31078	55278849	31120	54918850	31156	54558851	31238	54268852	31278	53908853	31318	53548854	31361	53188855	31391	5280856	31420	5242
857	31456	5206
858	31492	5169
859	31530	5132
860	31569	5096
861	31601	5059
862	31637	5022
8863	31697	4989864	31717	4950
865	31762	4914
866	31806	4879
867	31846	4843
868	31878	4805
869	31907	4767
870	31935	4729
871	31967	4692
872	31988	4653
873	32010	4614
874	32028	4575
875	32047	4536
876	32094	4501
877	32132	4464
878	32176	4429
879	32221	4393
880	32257	4357
881	32302	4321
882	32350	4286
883	32391	4250
884	32431	4214
885	32463	4177
886	32499	4140
887	32542	4104
888	32584	4068
889	32628	4032
890	32670	3996
891	32708	3960
892	32754	3924
893	32794	3888
894	32832	3851
895	32867	3815
896	32909	3778
897	32942	3741
898	32981	3705
899	33017	3668
900	33060	3632
901	33102	3596
902	33137	3559
903	33181	3523
904	33229	3488
905	33267	3451
906	33307	3415
907	33347	3378
908	33387	3342
909	33431	3306
910	33476	3270
911	33518	3234
912	33561	3198
913	33603	3161
914	33646	3125
915	33682	3088
916	33719	3052
917	33759	3015
918	33801	2979
919	33851	2943
920	33888	2906
921	33923	2869
922	33961	2833
923	34004	2796
924	34051	2760
925	34089	2724
926	34122	2687
927	34155	2650
928	34198	2613
929	34248	2577
930	34283	2540
931	34325	2504
932	34359	2467
933	34399	2430
934	34448	2394
935	34490	2358
936	34530	2321
937	34566	2284
938	34614	2248
939	34658	2212
940	34697	2175
941	34741	2139
942	34783	2102
943	34818	2065
944	34851	2028
945	34894	1991
946	34938	1955
947	34986	1919
948	35032	1882
949	35072	1845
950	35112	1809
951	35164	1772
952	35204	1736
953	35250	1699
954	35287	1662
955	35324	1625
956	35363	1588
957	35401	1552
958	35443	1515
959	35490	1478
960	35529	1441
961	35569	1405
962	35605	1368
963	35644	1331
964	35686	1294
965	35726	1257
966	35772	1220
967	35812	1183
968	35851	1146
969	35891	1110
970	35927	1073
971	35962	1035
972	35997	998
973	36045	962
974	36080	925
975	36134	888
976	36180	851
977	36217	814
978	36263	777
979	36297	740
980	36333	703
981	36371	666
982	36412	629
983	36453	592
984	36497	555
985	36533	518
986	36580	481
987	36608	444
988	36655	407
989	36696	370
990	36735	333
991	36774	296
992	36811	259
993	36852	222
994	36890	185
995	36950	148
996	36981	1998	36949	36
999	37008	0
	370999	37060	0

